  PID  PPID COMMAND
    1     0 /sbin/launchd
   97     1 /usr/libexec/logd
   98     1 /usr/libexec/UserEventAgent (System)
  100     1 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
  101     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  102     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  105     1 /usr/sbin/systemstats --daemon
  106     1 /usr/libexec/configd
  108     1 /System/Library/CoreServices/powerd.bundle/powerd
  109     1 /usr/libexec/IOMFB_bics_daemon
  112     1 /usr/libexec/remoted
  114     1 /usr/libexec/keybagd -t 15
  118     1 /usr/libexec/watchdogd
  122     1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
  124     1 /usr/libexec/kernelmanagerd
  125     1 /usr/libexec/diskarbitrationd
  129     1 /usr/sbin/syslogd
  132     1 /usr/libexec/thermalmonitord
  133     1 /usr/libexec/opendirectoryd
  134     1 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  135     1 /System/Library/CoreServices/launchservicesd
  136     1 /usr/libexec/timed
  137     1 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  138     1 /usr/sbin/securityd -i
  139     1 auditd -l
  141     1 /usr/libexec/locationd
  143     1 autofsd
  144     1 /usr/libexec/dasd
  146     1 /usr/sbin/distnoted daemon
  148     1 /usr/libexec/PerfPowerServices
  150     1 /System/Library/CoreServices/logind
  151     1 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  152     1 /usr/sbin/KernelEventAgent
  154     1 /usr/sbin/bluetoothd
  155     1 /usr/sbin/notifyd
  157     1 /usr/libexec/corebrightnessd --launchd
  158     1 /usr/libexec/AirPlayXPCHelper
  160     1 /usr/sbin/cfprefsd daemon
  161     1 /usr/libexec/syspolicyd
  162     1 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  163     1 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
  164     1 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  166     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  176     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  184     1 /usr/libexec/trustd
  187     1 /usr/sbin/distnoted agent
  201     1 /usr/libexec/runningboardd
  210     1 /System/Library/CoreServices/coreservicesd
  213     1 /usr/sbin/coreaudiod
  216     1 /usr/libexec/apfsd
  217     1 /usr/libexec/airportd
  218     1 /usr/libexec/nehelper
  223     1 /usr/libexec/biokitaggdd
  228     1 /usr/libexec/symptomsd
  232     1 /usr/sbin/distnoted agent
  233     1 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  240     1 /usr/sbin/mDNSResponder
  242     1 /usr/sbin/distnoted agent
  244     1 /usr/libexec/lsd runAsRoot
  253     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  254     1 /usr/libexec/diskmanagementd
  260     1 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
  266     1 /usr/libexec/searchpartyd
  267     1 /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd
  270     1 /usr/sbin/mDNSResponderHelper
  271     1 /usr/sbin/distnoted agent
  273     1 /usr/libexec/TouchBarServer
  277     1 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000923 com.apple.AppleUserHIDDrivers
  278     1 /System/Library/CoreServices/appleeventsd --server
  287     1 /usr/libexec/nsurlsessiond --privileged
  296     1 /usr/sbin/distnoted agent
  340     1 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  346     1 /usr/sbin/distnoted agent
  350     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  351     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
  358     1 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  372     1 /usr/sbin/appleh13camerad
  373     1 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  374     1 /usr/sbin/distnoted agent
  375     1 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  377     1 /usr/sbin/distnoted agent
  378     1 /usr/sbin/distnoted agent
  387     1 /usr/libexec/sysmond
  388   105 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
  389     1 /usr/libexec/wifianalyticsd
  398     1 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  407     1 /usr/sbin/distnoted agent
  408     1 /usr/libexec/securityd_service
  410     1 /usr/sbin/cfprefsd agent
  411     1 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000a54 com.apple.IOUserBluetoothSerialDriver
  412     1 /usr/libexec/UserEventAgent (Aqua)
  415     1 /usr/sbin/universalaccessd launchd -s
  417     1 /usr/libexec/knowledge-agent
  418     1 /usr/libexec/lsd
  419     1 /usr/libexec/secd
  421     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  422     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  423     1 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  425     1 /System/Library/CoreServices/lockoutagent
  426     1 /usr/libexec/rapportd
  427     1 /usr/sbin/usernoted
  429     1 /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/ControlStrip
  431     1 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  432     1 /usr/libexec/amfid
  433     1 /System/Library/CoreServices/backgroundtaskmanagementagent
  435     1 /usr/libexec/trustd --agent
  441     1 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  442     1 /usr/sbin/WirelessRadioManagerd
  445     1 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  446     1 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  450     1 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  451     1 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
